state_abbr,latitude,longitude,enrollment
AL,32.129773,-85.722772,448
AL,32.132765,-85.720119,382
AL,32.145793,-85.719487,497
AL,31.837042,-86.651940,526
AL,31.838100,-86.625300,513
AL,31.545343,-86.715153,487
AL,31.833257,-86.625756,528
AL,31.834197,-86.625266,268
AL,31.628096,-86.728948,377
AL,33.775146,-85.887066,480
AL,33.786000,-86.001400,391
AL,33.701761,-85.832400,625
AL,33.702122,-85.836812,419
AL,33.754646,-85.814833,544
AL,33.746852,-85.831354,468
AL,33.651300,-85.879500,598
AL,33.747043,-85.686986,396
AL,33.788300,-86.003000,472
AL,33.885623,-85.810914,458
AL,33.723612,-85.673191,530
AL,33.885484,-85.816324,393
AL,33.652082,-85.881638,425
AL,33.775731,-85.883616,712
AL,33.723721,-85.671905,387
AL,33.773599,-85.887080,503
AL,33.701199,-85.834603,196
AL,32.897981,-85.393991,311
AL,32.791284,-85.187223,689
AL,32.834881,-85.228643,383
AL,32.899400,-85.396500,182
AL,32.839743,-85.184797,232
AL,32.897981,-85.393991,140
AL,32.802209,-85.181546,692
AL,32.806400,-85.196400,545
AL,32.890312,-85.381482,29
AL,34.219759,-85.604521,623
AL,34.149993,-85.669399,665
AL,34.135634,-85.651107,450
AL,34.163800,-85.658700,448
AL,34.270955,-85.559967,341
AL,34.241020,-85.766930,783
AL,33.985365,-85.542865,550
AL,32.828758,-86.786024,789
AL,32.965160,-86.748365,702
AL,32.802978,-86.878059,592
AL,32.914147,-86.716637,895
AL,32.824800,-86.614500,942
AL,32.824330,-86.611574,401
AL,32.748829,-86.508834,589
AL,32.964356,-86.747493,328
AL,32.826299,-86.613190,630
AL,32.822011,-86.612343,833
AL,32.982393,-86.729493,752
AL,32.984464,-86.729600,468
AL,31.841649,-88.315823,288
AL,32.079800,-88.233200,231
AL,31.842900,-88.319300,211
AL,32.082021,-88.233587,295
AL,31.705821,-87.774120,256
AL,31.709137,-87.791617,348
AL,31.512951,-87.894655,278
AL,31.529378,-87.895748,389
AL,31.703243,-87.764353,201
AL,31.530700,-87.896600,282
AL,31.548200,-87.885100,376
AL,33.270504,-85.839114,455
AL,33.310973,-85.757743,459
AL,33.290823,-85.787937,282
AL,33.290823,-85.787937,533
AL,33.647308,-85.571808,391
AL,33.648138,-85.571924,555
AL,33.732187,-85.436415,226
AL,33.523462,-85.635050,206
AL,33.523373,-85.346519,526
AL,33.646971,-85.572406,243
AL,33.523791,-85.347288,343
AL,31.221294,-86.169864,524
AL,31.566764,-86.010110,887
AL,31.380382,-85.935457,455
AL,31.390294,-85.921987,727
AL,31.380382,-85.935457,360
AL,34.769777,-87.963981,226
AL,34.765704,-87.963365,206
AL,34.695841,-87.525228,438
AL,34.669401,-87.700701,467
AL,34.757300,-87.484400,236
AL,34.697628,-87.523663,355
AL,34.643200,-87.780500,159
AL,34.667372,-87.702521,486
AL,31.297200,-87.031300,118
AL,31.426800,-86.972700,342
AL,31.541683,-86.987452,85
AL,31.423350,-86.951499,167
AL,31.411500,-87.234500,129
AL,31.431297,-86.937172,290
AL,31.431297,-86.937172,213
AL,33.006452,-86.201187,354
AL,33.006452,-86.201187,397
AL,31.388162,-86.416727,569
AL,31.329706,-86.244981,170
AL,31.002800,-86.336800,233
AL,31.158400,-86.612800,508
AL,31.390600,-86.415700,433
AL,31.015529,-86.356732,293
AL,31.388162,-86.416727,287
AL,31.402730,-86.612820,535
