state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Oregon,OR,410156000399,WALKER ELEMENTARY SCHOOL,Ashland School District,Jackson County,42.188400,-122.687500,242,08:20,,Elementary,included
Oregon,OR,410156000400,ASHLAND MIDDLE SCHOOL,Ashland School District,Jackson County,42.193555,-122.687443,529,08:40,,Middle,included
Oregon,OR,410156000401,ASHLAND HIGH SCHOOL,Ashland School District,Jackson County,42.191078,-122.699750,877,08:30,,High,included
Oregon,OR,410156001654,TRAILS OUTDOOR SCHOOL,Ashland School District,Jackson County,42.191901,-122.687253,157,08:40,,Other/Mixed,included
Oregon,OR,410162000152,ASTOR ELEMENTARY SCHOOL,Astoria School District,Clatsop County,46.191800,-123.803700,342,08:00,,Elementary,included
Oregon,OR,410162000153,ASTORIA MIDDLE SCHOOL,Astoria School District,Clatsop County,46.179300,-123.831000,454,08:10,,Middle,included
Oregon,OR,410162000155,ASTORIA SENIOR HIGH SCHOOL,Astoria School District,Clatsop County,46.176271,-123.849095,594,08:00,,High,included
Oregon,OR,410162000156,LEWIS & CLARK ELEMENTARY SCHOOL,Astoria School District,Clatsop County,46.147600,-123.842100,352,08:05,,Elementary,included
Oregon,OR,410166001112,ATHENA ELEMENTARY SCHOOL,Athena-WestonSchool District,Umatilla County,45.808406,-118.484680,124,08:00,,Elementary,included
Oregon,OR,410166001114,WESTON MIDDLE SCHOOL,Athena-WestonSchool District,Umatilla County,45.812800,-118.422100,187,08:00,,Middle,included
Oregon,OR,410166001115,WESTON-MCEWEN HIGH SCHOOL,Athena-WestonSchool District,Umatilla County,45.810900,-118.486000,173,08:00,,High,included
Oregon,OR,410171000001,BAKER MIDDLE SCHOOL,Baker School District,Baker County,44.777600,-117.834800,226,07:55,,Middle,included
Oregon,OR,410171000002,BROOKLYN PRIMARY SCHOOL,Baker School District,Baker County,44.777400,-117.821300,249,07:55,,Elementary,included
Oregon,OR,410171000007,SOUTH BAKER INTERMEDIATE SCHOOL,Baker School District,Baker County,44.770500,-117.833700,268,07:55,,Middle,included
Oregon,OR,410171000009,BAKER HIGH SCHOOL,Baker School District,Baker County,44.787007,-117.837274,478,07:50,,High,included
Oregon,OR,410171000030,HAINES ELEMENTARY SCHOOL,Baker School District,Baker County,44.914117,-117.934246,140,07:25,,Elementary,included
Oregon,OR,410171000034,KEATING ELEMENTARY SCHOOL,Baker School District,Baker County,44.874665,-117.590761,26,07:00,,Elementary,included
Oregon,OR,410171001516,EAGLE CAP INNOVATIVE JR/SR HIGH SCHOOL,Baker School District,Baker County,44.784078,-117.838273,77,08:55,,High,included
Oregon,OR,410174000013,BURNT RIVER SCHOOL,Burnt River School District,Baker County,44.439800,-118.191900,55,07:55,,Other/Mixed,included
Oregon,OR,410180000235,HARBOR LIGHTS MIDDLE SCHOOL,Bandon School District,Coos County,43.115700,-124.419400,195,08:15,,Middle,included
